prediction_id,created_at,symbol_name,symbol_code,her_action,reverse_view,confidence,day_number,date,close_price,change_pct_close,result
170,2024-08-23 00:55:45+00:00,鴻海,2317,看多,空,,3,2024-08-28,185.5,3.34,loss
170,2024-08-23 00:55:45+00:00,鴻海,2317,看多,空,,4,2024-08-29,184.5,2.79,loss
170,2024-08-23 00:55:45+00:00,鴻海,2317,看多,空,,5,2024-08-30,184.5,2.79,loss
245,2025-04-18 01:16:35+00:00,鴻海,2317,持有虧損,空,,1,2025-04-18,135.5,0.37,loss
245,2025-04-18 01:16:35+00:00,鴻海,2317,持有虧損,空,,2,2025-04-21,136.5,1.11,loss
245,2025-04-18 01:16:35+00:00,鴻海,2317,持有虧損,空,,3,2025-04-22,132.0,-2.22,win
245,2025-04-18 01:16:35+00:00,鴻海,2317,持有虧損,空,,4,2025-04-23,139.0,2.96,loss
245,2025-04-18 01:16:35+00:00,鴻海,2317,持有虧損,空,,5,2025-04-24,136.5,1.11,loss
275,2025-08-29 17:42:09+00:00,鴻海,2317,計畫買入,空,,1,2025-09-01,198.5,-2.46,win
275,2025-08-29 17:42:09+00:00,鴻海,2317,計畫買入,空,,2,2025-09-02,198.5,-2.46,win
275,2025-08-29 17:42:09+00:00,鴻海,2317,計畫買入,空,,3,2025-09-03,200.5,-1.47,win
275,2025-08-29 17:42:09+00:00,鴻海,2317,計畫買入,空,,4,2025-09-04,203.0,-0.25,win
275,2025-08-29 17:42:09+00:00,鴻海,2317,計畫買入,空,,5,2025-09-05,205.0,0.74,loss
283,2025-09-10 14:47:01+00:00,鴻海,2317,計畫買入,空,,1,2025-09-11,214.5,3.37,loss
283,2025-09-10 14:47:01+00:00,鴻海,2317,計畫買入,空,,2,2025-09-12,217.5,4.82,loss
283,2025-09-10 14:47:01+00:00,鴻海,2317,計畫買入,空,,3,2025-09-15,216.0,4.1,loss
283,2025-09-10 14:47:01+00:00,鴻海,2317,計畫買入,空,,4,2025-09-16,215.5,3.86,loss
283,2025-09-10 14:47:01+00:00,鴻海,2317,計畫買入,空,,5,2025-09-17,212.0,2.17,loss
69,2024-06-02 11:49:43+00:00,仁寶,2324,看空,多,,1,2024-06-03,37.5,1.21,win
69,2024-06-02 11:49:43+00:00,仁寶,2324,看空,多,,2,2024-06-04,36.9,-0.4,loss
69,2024-06-02 11:49:43+00:00,仁寶,2324,看空,多,,3,2024-06-05,36.3,-2.02,loss
69,2024-06-02 11:49:43+00:00,仁寶,2324,看空,多,,4,2024-06-06,36.35,-1.89,loss
69,2024-06-02 11:49:43+00:00,仁寶,2324,看空,多,,5,2024-06-07,36.1,-2.56,loss
70,2024-06-02 18:09:26+00:00,仁寶,2324,計畫放空,多,,1,2024-06-04,36.9,-0.4,loss
70,2024-06-02 18:09:26+00:00,仁寶,2324,計畫放空,多,,2,2024-06-05,36.3,-2.02,loss
70,2024-06-02 18:09:26+00:00,仁寶,2324,計畫放空,多,,3,2024-06-06,36.35,-1.89,loss
70,2024-06-02 18:09:26+00:00,仁寶,2324,計畫放空,多,,4,2024-06-07,36.1,-2.56,loss
70,2024-06-02 18:09:26+00:00,仁寶,2324,計畫放空,多,,5,2024-06-11,35.7,-3.64,loss
191,2024-12-06 15:59:55+00:00,仁寶,2324,賣出,多,,1,2024-12-09,39.1,1.96,win
191,2024-12-06 15:59:55+00:00,仁寶,2324,賣出,多,,2,2024-12-10,38.8,1.17,win
191,2024-12-06 15:59:55+00:00,仁寶,2324,賣出,多,,3,2024-12-11,38.5,0.39,win
191,2024-12-06 15:59:55+00:00,仁寶,2324,賣出,多,,4,2024-12-12,38.35,0.0,flat
191,2024-12-06 15:59:55+00:00,仁寶,2324,賣出,多,,5,2024-12-13,37.4,-2.48,loss
23,2024-04-13 14:17:56+00:00,台積電,2330,計畫買入,空,,1,2024-04-15,806.0,-1.47,win
23,2024-04-13 14:17:56+00:00,台積電,2330,計畫買入,空,,2,2024-04-16,788.0,-3.67,win
23,2024-04-13 14:17:56+00:00,台積電,2330,計畫買入,空,,3,2024-04-17,804.0,-1.71,win
23,2024-04-13 14:17:56+00:00,台積電,2330,計畫買入,空,,4,2024-04-18,804.0,-1.71,win
23,2024-04-13 14:17:56+00:00,台積電,2330,計畫買入,空,,5,2024-04-19,750.0,-8.31,win
26,2024-04-16 01:31:12+00:00,台積電,2330,被套,空,,1,2024-04-16,788.0,-1.75,win
26,2024-04-16 01:31:12+00:00,台積電,2330,被套,空,,2,2024-04-17,804.0,0.25,loss
26,2024-04-16 01:31:12+00:00,台積電,2330,被套,空,,3,2024-04-18,804.0,0.25,loss
26,2024-04-16 01:31:12+00:00,台積電,2330,被套,空,,4,2024-04-19,750.0,-6.48,win
26,2024-04-16 01:31:12+00:00,台積電,2330,被套,空,,5,2024-04-22,742.0,-7.48,win
27,2024-04-16 04:28:17+00:00,台積電,2330,被套,空,,1,2024-04-16,788.0,-1.75,win
27,2024-04-16 04:28:17+00:00,台積電,2330,被套,空,,2,2024-04-17,804.0,0.25,loss
27,2024-04-16 04:28:17+00:00,台積電,2330,被套,空,,3,2024-04-18,804.0,0.25,loss
27,2024-04-16 04:28:17+00:00,台積電,2330,被套,空,,4,2024-04-19,750.0,-6.48,win
27,2024-04-16 04:28:17+00:00,台積電,2330,被套,空,,5,2024-04-22,742.0,-7.48,win
35,2024-04-25 01:37:12+00:00,台積電,2330,買入,空,,1,2024-04-25,766.0,-0.52,win
35,2024-04-25 01:37:12+00:00,台積電,2330,買入,空,,2,2024-04-26,782.0,1.56,loss
35,2024-04-25 01:37:12+00:00,台積電,2330,買入,空,,3,2024-04-29,795.0,3.25,loss
35,2024-04-25 01:37:12+00:00,台積電,2330,買入,空,,4,2024-04-30,790.0,2.6,loss
35,2024-04-25 01:37:12+00:00,台積電,2330,買入,空,,5,2024-05-02,772.0,0.26,loss
37,2024-04-30 09:25:20+00:00,台積電,2330,被套,空,,1,2024-05-02,772.0,-2.89,win
37,2024-04-30 09:25:20+00:00,台積電,2330,被套,空,,2,2024-05-03,780.0,-1.89,win
37,2024-04-30 09:25:20+00:00,台積電,2330,被套,空,,3,2024-05-06,786.0,-1.13,win
37,2024-04-30 09:25:20+00:00,台積電,2330,被套,空,,4,2024-05-07,800.0,0.63,loss
37,2024-04-30 09:25:20+00:00,台積電,2330,被套,空,,5,2024-05-08,802.0,0.88,loss
52,2024-05-21 00:54:06+00:00,台積電,2330,買入,空,,1,2024-05-22,864.0,3.47,loss
52,2024-05-21 00:54:06+00:00,台積電,2330,買入,空,,2,2024-05-23,875.0,4.79,loss
52,2024-05-21 00:54:06+00:00,台積電,2330,買入,空,,3,2024-05-24,867.0,3.83,loss
52,2024-05-21 00:54:06+00:00,台積電,2330,買入,空,,4,2024-05-27,869.0,4.07,loss
52,2024-05-21 00:54:06+00:00,台積電,2330,買入,空,,5,2024-05-28,865.0,3.59,loss
57,2024-05-22 13:48:25+00:00,台積電,2330,看多,空,,1,2024-05-23,875.0,4.04,loss
57,2024-05-22 13:48:25+00:00,台積電,2330,看多,空,,2,2024-05-24,867.0,3.09,loss
57,2024-05-22 13:48:25+00:00,台積電,2330,看多,空,,3,2024-05-27,869.0,3.33,loss
57,2024-05-22 13:48:25+00:00,台積電,2330,看多,空,,4,2024-05-28,865.0,2.85,loss
57,2024-05-22 13:48:25+00:00,台積電,2330,看多,空,,5,2024-05-29,857.0,1.9,loss
79,2024-06-06 13:37:04+00:00,台積電,2330,看多,空,,1,2024-06-07,879.0,2.93,loss
79,2024-06-06 13:37:04+00:00,台積電,2330,看多,空,,2,2024-06-11,883.0,3.4,loss
79,2024-06-06 13:37:04+00:00,台積電,2330,看多,空,,3,2024-06-12,909.0,6.44,loss
79,2024-06-06 13:37:04+00:00,台積電,2330,看多,空,,4,2024-06-13,919.0,7.61,loss
79,2024-06-06 13:37:04+00:00,台積電,2330,看多,空,,5,2024-06-14,922.0,7.96,loss
80,2024-06-07 02:39:49+00:00,台積電,2330,看多,空,,1,2024-06-07,879.0,-0.68,win
80,2024-06-07 02:39:49+00:00,台積電,2330,看多,空,,2,2024-06-11,883.0,-0.23,win
80,2024-06-07 02:39:49+00:00,台積電,2330,看多,空,,3,2024-06-12,909.0,2.71,loss
80,2024-06-07 02:39:49+00:00,台積電,2330,看多,空,,4,2024-06-13,919.0,3.84,loss
80,2024-06-07 02:39:49+00:00,台積電,2330,看多,空,,5,2024-06-14,922.0,4.18,loss
88,2024-06-13 01:52:32+00:00,台積電,2330,買入,空,,1,2024-06-13,919.0,-0.43,win
88,2024-06-13 01:52:32+00:00,台積電,2330,買入,空,,2,2024-06-14,922.0,-0.11,win
88,2024-06-13 01:52:32+00:00,台積電,2330,買入,空,,3,2024-06-17,921.0,-0.22,win
88,2024-06-13 01:52:32+00:00,台積電,2330,買入,空,,4,2024-06-18,943.0,2.17,loss
88,2024-06-13 01:52:32+00:00,台積電,2330,買入,空,,5,2024-06-19,981.0,6.28,loss
90,2024-06-14 05:29:15+00:00,台積電,2330,看多,空,,1,2024-06-14,922.0,0.66,loss
90,2024-06-14 05:29:15+00:00,台積電,2330,看多,空,,2,2024-06-17,921.0,0.55,loss
90,2024-06-14 05:29:15+00:00,台積電,2330,看多,空,,3,2024-06-18,943.0,2.95,loss
90,2024-06-14 05:29:15+00:00,台積電,2330,看多,空,,4,2024-06-19,981.0,7.1,loss
90,2024-06-14 05:29:15+00:00,台積電,2330,看多,空,,5,2024-06-20,981.0,7.1,loss
98,2024-06-18 14:41:14+00:00,台積電,2330,看多,空,,1,2024-06-19,981.0,6.51,loss
98,2024-06-18 14:41:14+00:00,台積電,2330,看多,空,,2,2024-06-20,981.0,6.51,loss
98,2024-06-18 14:41:14+00:00,台積電,2330,看多,空,,3,2024-06-21,970.0,5.32,loss
98,2024-06-18 14:41:14+00:00,台積電,2330,看多,空,,4,2024-06-24,940.0,2.06,loss
98,2024-06-18 14:41:14+00:00,台積電,2330,看多,空,,5,2024-06-25,945.0,2.61,loss
99,2024-06-19 12:40:55+00:00,台積電,2330,持有,空,,1,2024-06-20,981.0,4.03,loss
99,2024-06-19 12:40:55+00:00,台積電,2330,持有,空,,2,2024-06-21,970.0,2.86,loss
99,2024-06-19 12:40:55+00:00,台積電,2330,持有,空,,3,2024-06-24,940.0,-0.32,win
99,2024-06-19 12:40:55+00:00,台積電,2330,持有,空,,4,2024-06-25,945.0,0.21,loss
99,2024-06-19 12:40:55+00:00,台積電,2330,持有,空,,5,2024-06-26,960.0,1.8,loss
111,2024-07-04 00:40:43+00:00,台積電,2330,計畫買入,空,,1,2024-07-05,1005.0,2.66,loss
111,2024-07-04 00:40:43+00:00,台積電,2330,計畫買入,空,,2,2024-07-08,1035.0,5.72,loss
111,2024-07-04 00:40:43+00:00,台積電,2330,計畫買入,空,,3,2024-07-09,1040.0,6.23,loss
111,2024-07-04 00:40:43+00:00,台積電,2330,計畫買入,空,,4,2024-07-10,1045.0,6.74,loss
111,2024-07-04 00:40:43+00:00,台積電,2330,計畫買入,空,,5,2024-07-11,1080.0,10.32,loss
121,2024-07-12 15:58:40+00:00,台積電,2330,看多,空,,1,2024-07-15,1040.0,-3.7,win
121,2024-07-12 15:58:40+00:00,台積電,2330,看多,空,,2,2024-07-16,1055.0,-2.31,win
121,2024-07-12 15:58:40+00:00,台積電,2330,看多,空,,3,2024-07-17,1030.0,-4.63,win
121,2024-07-12 15:58:40+00:00,台積電,2330,看多,空,,4,2024-07-18,1005.0,-6.94,win
121,2024-07-12 15:58:40+00:00,台積電,2330,看多,空,,5,2024-07-19,970.0,-10.19,win
123,2024-07-15 17:44:23+00:00,台積電,2330,看多,空,,1,2024-07-17,1030.0,-0.96,win
123,2024-07-15 17:44:23+00:00,台積電,2330,看多,空,,2,2024-07-18,1005.0,-3.37,win
123,2024-07-15 17:44:23+00:00,台積電,2330,看多,空,,3,2024-07-19,970.0,-6.73,win
123,2024-07-15 17:44:23+00:00,台積電,2330,看多,空,,4,2024-07-22,939.0,-9.71,win
123,2024-07-15 17:44:23+00:00,台積電,2330,看多,空,,5,2024-07-23,979.0,-5.87,win
124,2024-07-16 02:21:18+00:00,台積電,2330,持有,空,,1,2024-07-16,1055.0,1.44,loss
